Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,7910,81.3527180783818,72.76776322074146,87.3,81.5,91.1,75.9,66.1,91.8,16.1,76.6,97.1,98.1,89.5,26.9,83.2,85.2,78.9,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,7910,87.9646017699115,84.30497679466625,93.9,55.6,91.5,96.7,82.5,91.5,64.2,90.4,88.1,90.0,92.7,59.6,90.9,92.2,86.1,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,7910,87.09228824273072,82.27376728561866,88.4,64.1,93.7,92.2,74.6,96.9,47.3,86.4,93.2,90.8,92.4,54.5,89.9,92.7,81.9,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
shhs1_normal_with_channel_eeg_c4_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,17176,63.245225896599905,56.6720628013036,58.4,47.0,63.0,80.6,55.0,63.4,7.9,75.4,76.1,71.3,60.8,13.6,68.7,78.3,62.1,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
shhs1_normal_with_channel_eeg_c4_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,17176,79.7508150908244,77.92102356779115,85.1,58.5,78.5,84.7,84.3,87.6,47.4,80.4,92.9,81.4,86.3,52.4,79.5,88.6,82.8,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
shhs1_normal_with_channel_eeg_c4_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,17176,80.03609687936655,78.05191319004786,86.0,58.3,78.0,88.5,81.8,88.2,47.1,82.3,92.4,79.4,87.1,52.1,80.1,90.4,80.6,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,10379,65.9890162828789,58.661276241031466,63.5,57.9,69.6,54.6,69.7,73.0,11.5,78.0,65.1,77.1,67.9,19.2,73.5,59.4,73.2,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,10379,78.62992581173523,74.23582928620998,72.1,70.2,86.3,80.1,75.9,91.5,54.1,84.2,56.2,80.4,80.6,61.1,85.3,66.0,78.1,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,10379,78.77444840543404,74.93490305894522,72.1,65.6,87.9,76.4,81.0,89.4,59.8,83.6,59.5,78.6,79.8,62.5,85.7,66.9,79.8,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,11273,75.85380998846803,67.92260971902009,66.3,65.3,87.2,55.5,79.3,77.6,23.8,75.8,95.2,84.9,71.5,34.9,81.1,70.1,82.0,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
